net,length_um
_0013_,5.8µm
_0255_,5.8µm
net25,5.8µm
net72,5.8µm
_0210_,5.72µm
_0263_,5.72µm
data[14],5.65µm
data[8],5.63µm
_0473_,5.6µm
mem1.trellis_diagr\[18\]\[0\],5.6µm
mem1.trellis_diagr\[8\]\[0\],5.6µm
_0028_,5.56µm
_0004_,5.52µm
net158,5.52µm
_0259_,5.5µm
_0285_,5.5µm
_0169_,5.48µm
_0101_,5.39µm
_0236_,5.38µm
_0269_,5.38µm
_0299_,5.38µm
_0327_,5.38µm
br1.data_reg\[14\],5.38µm
br1.data_reg\[6\],5.38µm
_0531_,5.35µm
_0284_,5.34µm
net14,5.34µm
net22,5.34µm
net71,5.34µm
_0048_,5.33µm
data[4],5.29µm
_0364_,5.28µm
_0400_,5.28µm
net131,5.26µm
_0168_,5.22µm
_0333_,5.22µm
_0135_,5.1µm
_0166_,5.1µm
_0053_,5.07µm
done_flag,5.07µm
_0007_,5.065µm
_0499_,5.06µm
net122,5.06µm
_0189_,5µm
_0275_,5µm
_0522_,5µm
net85,5µm
_0117_,4.99µm
data[10],4.95µm
data[3],4.95µm
data[7],4.95µm
_0215_,4.94µm
_0185_,4.92µm
_0238_,4.92µm
br1.data_reg\[1\],4.92µm
_0253_,4.88µm
_0298_,4.88µm
_0416_,4.88µm
_0494_,4.88µm
_0527_,4.88µm
net149,4.88µm
_0112_,4.87µm
_0120_,4.87µm
data_out[5],4.85µm
_0455_,4.82µm
_0465_,4.82µm
_0394_,4.8µm
_0585_,4.8µm
net160,4.8µm
_0271_,4.765µm
_0332_,4.76µm
_0365_,4.76µm
_0172_,4.73µm
data_out[0],4.73µm
data_out[3],4.73µm
_0429_,4.68µm
_0496_,4.66µm
data[12],4.61µm
data[13],4.61µm
data[15],4.61µm
data[5],4.61µm
net67,4.6µm
_0211_,4.58µm
_0257_,4.58µm
_0273_,4.58µm
_0287_,4.58µm
_0304_,4.58µm
_0243_,4.56µm
_0506_,4.56µm
net176,4.56µm
_0250_,4.54µm
_0045_,4.51µm
_0050_,4.51µm
_0100_,4.51µm
net74,4.48µm
_0047_,4.47µm
_0087_,4.47µm
_0132_,4.47µm
_0374_,4.46µm
net112,4.46µm
c1.state\[0\],4.45µm
_0159_,4.44µm
_0082_,4.42µm
_0128_,4.42µm
_0378_,4.42µm
_0413_,4.42µm
_0419_,4.42µm
_0478_,4.42µm
_0525_,4.42µm
data_out[1],4.39µm
_0368_,4.35µm
_0379_,4.34µm
_0500_,4.34µm
net95,4.34µm
net147,4.24µm
net161,4.24µm
_0054_,4.22µm
_0116_,4.22µm
